Classes,Credit Count
AE 201,3
AE 307,3
AE 308,3
AE 313,3
AE 314,1
AE 315,1
AE 316,3
AE 318,3
AE 403,3
AE 413,3
AE 416,1
AE 417,1
AE 418,3
AE 420,4
AE 421,4
AE 427,4
AE 432,3
AE 434,3
AE 435,4
AE 440,4
AE 442,1
AE 443,1
AE 445,4
AS 120,3
BIO 120,3
BIO 120L,1
CEC 220,3
CEC 222,1
CEC 300,3
CEC 315,3
CEC 320,3
CEC 322,1
CEC 330,4
CEC 410,3
CEC 411,1
CEC 420,3
CEC 421,3
CEC 450,3
CEC 460,3
CEC 470,4
CHM 110,3
CHM 110L,1
CIV 140,1
CIV 140L,1
CIV 222,3
CIV 304,3
CIV 307,3
CIV 307L,1
CIV 311,3
CIV 316,3
CIV 320,3
CIV 320L,1
CIV 330,2
CIV 421,3
CIV 422,3
CIV 424,3
CIV 431,3
CIV 432,3
CIV 447,3
CIV 457,3
CIV 470,1
CIV 480,3
CIV 490,1
COM 122,3
COM 219,3
COM 221,3
CS 222,3
CS 225,4
CS 315,3
CS 317,3
CS 332,3
CS 420,3
EC 225,3
EE 223,3
EE 224,1
EE 300,3
EE 302,3
EE 304,1
EE 307,3
EE 308,3
EE 310,3
EE 327,3
EE 328,1
EE 335,2
EE 340,3
EE 401,3
EE 402,1
EE 417,3
EE 420,3
EE 421,3
EE 430,3
EE 430L,1
EGR 101,2
EGR 115,3
EGR 120,3
ES 201,3
ES 202,3
ES 204,3
ES 305,3
ES 309,3
ES 320,2
ES 321,1
ES 403,3
MA 241,4
MA 242,4
MA 243,4
MA 345,4
MA 348,3
MA 412,3
MA 441,3
ME 208,1
ME 243,4
ME 303,3
ME 304,3
ME 311,3
ME 313,2
ME 314,1
ME 316,3
ME 345,4
ME 400,3
ME 402,3
ME 404,3
ME 405,3
ME 407,4
ME 409,3
ME 413,4
ME 414,4
ME 433,4
ME 434,4
ME 436,3
ME 437,4
ME 438,2
ME 438L,1
ME 442,3
ME 443,3
ME 444,3
ME 445,3
ME 448,4
ME 458,4
ME 460,3
ME 501,3
PS 150,3
PS 160,3
PS 250,3
PS 253,1
SE 300,4
SE 310,3
SE 320,3
SE 410,3
SE 420,3
SE 450,3
SE 451,3
SYS 301,3
SYS 303,3
SYS 304,3
SYS 417,3
SYS 418,3
UNIV 101,1
