Semester 1,Semester 2,Semester 3,Semester 4 ,Semester 5,Semester 6,Semester 7,Semester 8
COM 122,COM 122,BIO 120,BIO 120,CIV 304,CIV 304,CIV 316,CIV 316
COM 219,COM 219,BIO 120L,BIO 120L,CIV 307,CIV 307,CIV 470,CIV 470
EGR 101,EGR 101,CHM 110,CHM 110,CIV 307L,CIV 307L,CIV 480,CIV 480
EGR 115,EGR 115,CHM 110l,CHM 110l,CIV 311,CIV 311,CIV 490,CIV 490
MA 241,MA 241,CIV 140,CIV 140,CIV 320,CIV 320,EE 335,EE 335
MA 242,MA 242,CIV 140L,CIV 140L,CIV 320L,CIV 320L,MA 412,MA 412
PS 150,PS 150,CIV 222,CIV 222,COM 219,COM 219,HU 3xx,HU 3xx
PS 160,PS 160,COM 221,COM 221,ES 204,ES 204,CIV 330,CIV 330
UNIV 101,UNIV 101,ES 201,ES 201,HU 1xx,HU 1xx,CIV 447,CIV 447
HU 1xx,HU 1xx,ES 202,ES 202,CIV 330,CIV 330,CIV 457,CIV 457
SS 1xx,SS 1xx,MA 243,MA 243,CIV 447,CIV 447,CIV 431,CIV 431
N/A,N/A,MA 345,MA 345,CIV 457,CIV 457,CIV 432,CIV 432
N/A,N/A,PS 250,PS 250,CIV 431,CIV 431,CIV 421,CIV 421
N/A,N/A,PS 253,PS 253,CIV 432,CIV 432,CIV 422,CIV 422
N/A,N/A,N/A,N/A,CIV 421,CIV 421,CIV 424,CIV 424
N/A,N/A,N/A,N/A,CIV 422,CIV 422,N/A,N/A
N/A,N/A,N/A,N/A,CIV 424,CIV 424,N/A,N/A
