Semester 1,Semester 2,Semester 3,Semester 4 ,Semester 5,Semester 6,Semester 7,Semester 8
COM 122,COM 122,CS 225,CS 225,CS 332,CS 332,MA 412,MA 412
COM 219,COM 219,CS 222,CS 222,CS 344,CS 344,MA 222,MA 222
EGR 101,EGR 101,CS 315,CS 315,MA 348,MA 348,SE 320,SE 420
CS 223,CS 223,CS 317,CS 317,HU 3xx,HU 3xx,CEC 3xx,CEC 3xx
MA 241,MA 241,COM 219,COM 219,MA 3xx,MA 3xx,CS 3xx,CS 3xx
MA 242,MA 242,COM 221,COM 221,SS 1xx,SS 1xx,SE 3xx,SE 3xx
PS 150,PS 150,PS 250,PS 250,CEC 3xx,CEC 3xx,EE 3xx,EE 3xx
PS 160,PS 160,PS 253,PS 253,CS 3xx,CS 3xx,CEC 3xx,CEC 3xx
UNIV 101,UNIV 101,CEC 220,CEC 220,SE 3xx,SE 3xx,CS 3xx,CS 3xx
HU 1xx,HU 1xx,CEC 320,CEC 320,EE 3xx,EE 3xx,SE 3xx,SE 3xx
SS 1xx,SS 1xx,N/A,N/A,N/A,N/A,EE 3xx,EE 3xx
