Semester 1,Semester 2,Semester 3,Semester 4 ,Semester 5,Semester 6,Semester 7,Semester 8
COM 122,COM 122,CEC 220,CEC 220,CEC 300,CEC 300,CEC 420,CEC 420
COM 219,COM 219,CEC 222,CEC 222,CEC 315,CEC 315,CEC 421,CEC 421
EGR 101,EGR 101,CEC 320,CEC 320,CEC 330,CEC 330,CEC 460,CEC 460
EGR 115,EGR 115,CEC 322,CEC 322,CEC 450,CEC 450,CEC 470,CEC 470
MA 241,MA 241,COM 221,COM 221,CS 420,CS 420,CEC 3xx,CEC 3xx
MA 242,MA 242,CS 222,CS 222,EC 225,EC 225,HU 3xx,HU 3xx
PS 150,PS 150,CS 225,CS 225,EE 302,EE 302,HU 3xx,HU 3xx
PS 160,PS 160,COM 219,COM 219,EE 304,EE 304,HU 3xx,HU 3xx
UNIV 101,UNIV 101,EE 223,EE 223,MA 412,MA 412,N/A,N/A
HU 1xx,HU 1xx,EE 224,EE 224,SE 300,SE 300,N/A,N/A
SS 1xx,SS 1xx,MA 243,MA 243,HU 1xx,HU 1xx,N/A,N/A
N/A,N/A,MA 345,MA 345,N/A,N/A,N/A,N/A
N/A,N/A,PS 250,PS 250,N/A,N/A,N/A,N/A
N/A,N/A,PS 253,PS 253,N/A,N/A,N/A,N/A
