Semester 1,Semester 2,Semester 3,Semester 4 ,Semester 5,Semester 6,Semester 7,Semester 8
COM 122,COM 122,COM 219,COM 219,CEC 315,CEC 315,CEC 410,CEC 410
COM 219,COM 219,CEC 220,CEC 220,CEC 330,CEC 330,CEC 411,CEC 411
EGR 101,EGR 101,CEC 222,CEC 222,COM 221,COM 221,CEC 460,CEC 460
EGR 115,EGR 115,CEC 320,CEC 320,EC 225,EC 225,EE 310,EE 310
MA 241,MA 241,CEC 322,CEC 322,EE 300,EE 300,EE 401,EE 401
MA 242,MA 242,CS 225,CS 225,EE 302,EE 302,EE 417,EE 417
PS 150,PS 150,EE 223,EE 223,EE 304,EE 304,EE 420,EE 420
PS 160,PS 160,EE 224,EE 224,EE 307,EE 307,EE 421,EE 421
UNIV 101,UNIV 101,MA 243,MA 243,EE 308,EE 308,EE 430L,EE 430L
HU 1xx,HU 1xx,MA 345,MA 345,EE 340,EE 340,EE 430L,EE 430L
SS 1xx,SS 1xx,PS 250,PS 250,MA 412,MA 412,HU 3xx,HU 3xx
N/A,N/A,PS 253,PS 253,MA 441,MA 441,N/A,N/A
N/A,N/A,SYS 301,SYS 301,N/A,N/A,N/A,N/A
