Semester 1,Semester 2,Semester 3,Semester 4 ,Semester 5,Semester 6,Semester 7,Semester 8
COM 122,COM 122,COM 219,COM 219,CEC 315,CEC 315,CEC 460,CEC 460
COM 219,COM 219,CEC 220,CEC 220,CEC 330,CEC 330,EE 308,EE 308
EGR 101,EGR 101,CEC 222,CEC 222,EC 225,EC 225,EE 401,EE 401
EGR 115,EGR 115,CEC 320,CEC 320,EE 300,EE 300,EE 402,EE 402
MA 241,MA 241,CEC 322,CEC 322,EE 302,EE 302,SYS 415,SYS 415
MA 242,MA 242,COM 221,COM 221,EE 304,EE 304,SYS 417,SYS 417
PS 150,PS 150,CS 225,CS 225,SYS 303,SYS 303,SYS 418,SYS 418
PS 160,PS 160,EE 223,EE 223,SYS 304,SYS 304,HU 3xx,HU 3xx
UNIV 101,UNIV 101,EE 224,EE 224,MA 412,MA 412,N/A,N/A
HU 1xx,HU 1xx,MA 243,MA 243,MA 441,MA 441,N/A,N/A
SS 1xx,SS 1xx,MA 345,MA 345,HU 1xx,HU 1xx,N/A,N/A
N/A,N/A,PS 250,PS 250,N/A,N/A,N/A,N/A
N/A,N/A,PS 253,PS 253,N/A,N/A,N/A,N/A
N/A,N/A,SYS 301,SYS 301,N/A,N/A,N/A,N/A
