Semester 1,Semester 2,Semester 3,Semester 4 ,Semester 5,Semester 6,Semester 7,Semester 8
COM 122,COM 122,AS 120,AS 120,CEC 450,CEC 450,SE 410,SE 410
COM 219,COM 219,CEC 220,CEC 220,CEC 470,CEC 470,SE 420,SE 420
EGR 101,EGR 101,CEC 222,CEC 222,CS 317,CS 317,SE 450,SE 450
EGR 115,EGR 115,CEC 320,CEC 320,CS 332,CS 332,SE 451,SE 451
MA 241,MA 241,CEC 322,CEC 322,CS 420,CS 420,HU 3xx,HU 3xx
MA 242,MA 242,COM 221,COM 221,EC 225,EC 225,CEC 3xx,CEC 3xx
PS 150,PS 150,CS 222,CS 222,MA 412,MA 412,CS 3xx,CS 3xx
PS 160,PS 160,CS 225,CS 225,SE 310,SE 310,SE 3xx,SE 3xx
UNIV 101,UNIV 101,COM 219,COM 219,SE 320,SE 320,N/A,N/A
HU 1xx,HU 1xx,CS 315,CS 315,HU 1xx,HU 1xx,N/A,N/A
SS 1xx,SS 1xx,PS 250,PS 250,MA 3xx,MA 3xx,N/A,N/A
N/A,N/A,PS 253,PS 253,N/A,N/A,N/A,N/A
N/A,N/A,SE 300,SE 300,N/A,N/A,N/A,N/A
